Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
1,4.0,88.85000000000582,85.64999999999645,76.79000000000451,3.200000000009368,3.7361354349206075,-8.859999999991942,-10.344424985396742,Max Drawdown
2,1.0,93.43999999999323,101.40999999998871,99.9199999999878,-7.96999999999548,-7.859185484662625,-1.4900000000009186,-1.4692831081758055,Max Drawdown
2,1.5,99.77999999999338,105.31000000000768,104.53000000000613,-5.530000000014297,-5.251163232374792,-0.7800000000015501,-0.7406704016726743,Max Drawdown
2,2.0,111.92999999999164,92.55999999999244,88.51999999999202,19.369999999999195,20.92696629213567,-4.040000000000418,-4.364736387209106,Max Drawdown
2,2.5,123.43499999999084,93.57499999999165,90.10499999999185,29.85999999999919,31.910232433878548,-3.4699999999998,-3.7082554100989684,Max Drawdown
2,2.75,128.2324999999903,102.9199999999978,98.2324999999953,25.312499999992497,24.59434512241842,-4.687500000002501,-4.554508356007191,Max Drawdown
2,3.0,129.47999999998933,108.659999999996,103.8799999999908,20.81999999999333,19.16068470457767,-4.780000000005202,-4.399042886071579,Max Drawdown
2,3.25,131.45999999998867,107.7324999999944,103.89999999998872,23.727499999994265,22.024458728791682,-3.8325000000056804,-3.5574223191756245,Max Drawdown
2,3.5,130.92999999998915,113.19499999999584,110.3099999999913,17.734999999993306,15.667653164887104,-2.8850000000045384,-2.5486991474929495,Max Drawdown
2,3.75,133.94999999998913,118.65749999999775,113.30749999999443,15.292499999991378,12.887933758920985,-5.35000000000332,-4.508775256518485,Max Drawdown
2,4.0,139.09999999998786,122.07999999999674,116.61999999999308,17.019999999991114,13.941677588459672,-5.46000000000366,-4.472477064223301,Max Drawdown
3,1.0,133.78000000001248,95.04000000000178,94.04000000000268,38.740000000010696,40.761784511795,-0.9999999999991047,-1.0521885521875904,Max Drawdown
3,1.5,147.70000000001528,107.84500000000207,106.34500000000207,39.855000000013206,36.95581621773141,-1.5,-1.3908850665306423,Max Drawdown
3,2.0,148.05000000000473,134.85000000000582,134.37000000000626,13.199999999998909,9.78865406006551,-0.47999999999956344,-0.35595105672936056,Max Drawdown
3,2.5,151.89000000000306,156.60500000001184,153.35500000001275,-4.715000000008786,-3.01075955429803,-3.2499999999990905,-2.075284952586983,Max Drawdown
3,2.75,153.81000000000586,168.50250000001324,164.70750000001408,-14.692500000007385,-8.719455200965108,-3.7949999999991633,-2.252192103974045,Max Drawdown
